step temp pe ke etotal press
0 94.400000000000048317 -416.17070649408350391 71.754059523600034254 -344.41664697048349808 -2423.7921662881658449
100 82.628636684835825577 -405.5522783221103964 62.806569015229115394 -342.74570930688128101 -2007.7126104343635689
200 54.054289788331722377 -373.31834945092839462 41.087020412901253508 -332.2313290380271269 -906.16855956920903736
300 64.972701297395914821 -368.86690339190607801 49.386176655746076847 -319.48072673616002248 -634.85014563721142622
400 84.864940640453809806 -367.43199766985031829 64.506398328198130798 -302.92559934165217328 -515.3801028826064794
500 90.85107359571063057 -357.02537381329051414 69.056497272982895197 -287.96887654030763315 -134.7284225079029909
600 99.840915519411169043 -352.43082949474035104 75.889735117272749676 -276.54109437746762978 98.185152620082945418
700 97.692725243321262951 -347.03313363047914208 74.256881590381084379 -272.77625204009802928 279.98010854455054641
800 97.229297345805278496 -349.28950531978523486 73.904627004117742217 -275.38487831566749264 213.35465561494663689
900 89.360026257266142125 -348.41171454326729418 67.92314240566031458 -280.4885721376069796 203.13109642951988576
1000 94.468361709397669301 -351.25735937648141771 71.806021707553981059 -279.45133766892740823 127.94321720805459108
1100 95.297658374155133743 -349.38944916920729611 72.436375544902816159 -276.95307362430446574 175.28342599115742928
1200 99.606075501136729144 -352.79114827918516539 75.711231678186024396 -277.07991660099912679 85.776312034755918035
1300 90.181392384662743211 -350.9195379833160473 68.547468189515029735 -282.37206979380101757 107.41704607785635517
1400 89.423224863338816704 -350.5432001889855087 67.971180080892807496 -282.57202010809271542 125.48399343512244286
1500 99.604573889049518698 -352.32071720724860597 75.710090292983835525 -276.61062691426479887 109.392000917511794
1600 96.467759700127857059 -350.35510072972266471 73.325777241857153399 -277.0293234878654971 164.24980436653538618
1700 87.139148299276385501 -347.39103871134403789 66.235038494725486657 -281.15600021661856545 246.46278840178032965
1800 101.22312928594594439 -354.04002705966308895 76.940364872339230828 -277.09966218732387233 107.1170365883383937
1900 95.269665802096497487 -346.12012978013950715 72.415098207172789557 -273.7050315729667318 341.59048028438490974
2000 93.611585163795183462 -345.23920679103412112 71.154780232431249942 -274.0844265586028996 377.07346242283216498
2100 98.241051070125394062 -349.55408434003055618 74.673667649860220763 -274.88041669017036384 248.28218312294831094
2200 89.217458894553615778 -349.27712628207279977 67.814776017628560112 -281.46235026444423966 205.82855483469873548
2300 89.76145921271815098 -350.47002250200000617 68.228274229603513845 -282.24174827239647811 156.02687054427323687
2400 96.379581618353881822 -348.37715354331442086 73.25875250321004728 -275.11840104010434516 244.95608919045824337
2500 97.359897406102192008 -343.97750580243496188 74.003896967044980215 -269.97360883538999587 380.25227833123915389
2600 98.243779707579307114 -345.63818305611442838 74.675741705096299938 -270.96244135101812844 320.17152279245141244
2700 92.049925874699312089 -344.50772603661454241 69.967752758009979175 -274.53997327860457744 314.09235104201064814
2800 91.939305943293163637 -343.53005606870692645 69.883669822177211017 -273.64638624652968701 349.38447407789891486
2900 100.36719345310403639 -344.52285210589826647 76.289762428503209435 -268.23308967739507125 365.67482252304733947
3000 99.874945746238623201 -347.19705206508251649 75.915601716016169576 -271.28145034906634692 302.71114479827525656
3100 86.469917499779569425 -346.49654438567620218 65.726351772033524412 -280.77019261364267777 286.27557090508639703
3200 93.017877753924736339 -347.59780617937656189 70.703499333835424068 -276.8943068455411094 258.85438053752534415
3300 95.175588179749723849 -343.10509549443276001 72.343589189019084529 -270.76150630541366127 377.32418138597415691
3400 94.785818744950844916 -339.13838978916999167 72.047322883669110638 -267.09106690550089525 483.1395419330808636
3500 101.50478748076936597 -343.4884515998049892 77.154455114676835592 -266.33399648512818203 382.30121819403689187
3600 84.774158186115712965 -341.50512317409379648 64.437393988873182593 -277.0677291852206281 392.83109050017202435
3700 95.887156648971966888 -349.49438773027037541 72.884457052320883008 -276.60993067794947819 172.88957245579842947
3800 94.15972970418465593 -348.37713086594447986 71.571428494916872864 -276.80570237102762121 190.1484680671615024
