# Time-averaged data for fix msd_out
# TimeStep c_msd[4]
0 2.44109e-29
100 0.204298
200 0.579801
300 0.930883
400 1.24762
500 1.57892
600 1.88643
700 2.22639
800 2.55753
900 2.85328
1000 3.20023
1100 3.61218
1200 4.04142
1300 4.429
1400 4.73013
1500 5.01882
1600 5.31965
1700 5.65076
1800 5.98392
1900 6.3377
2000 6.7026
2100 7.06547
2200 7.4472
2300 7.79223
2400 8.06034
2500 8.36699
2600 8.73875
2700 9.07674
2800 9.38705
2900 9.7747
3000 10.2227
3100 10.5779
3200 10.7674
3300 10.9043
3400 11.1839
3500 11.5518
3600 11.8332
3700 12.1113
3800 12.3449
3900 12.6783
4000 13.0867
4100 13.3813
4200 13.6434
4300 13.9245
4400 14.2111
4500 14.562
4600 14.9421
4700 15.4106
4800 15.8221
4900 16.2566
5000 16.665
5100 16.9337
5200 17.1019
5300 17.4021
5400 17.7421
5500 17.9489
5600 18.1084
5700 18.3498
5800 18.5796
5900 18.8565
6000 19.3513
6100 19.755
6200 20.1221
6300 20.4381
6400 20.6345
6500 20.8601
6600 21.1551
6700 21.5222
6800 21.9157
6900 22.3592
7000 22.5877
7100 22.768
7200 22.9412
7300 23.1321
7400 23.3648
7500 23.7048
7600 24.0955
7700 24.4251
7800 24.8188
7900 25.3054
8000 25.6853
8100 26.0617
8200 26.3657
8300 26.6336
8400 26.9675
8500 27.3051
8600 27.5904
8700 28.0317
8800 28.3916
8900 28.769
9000 29.1701
9100 29.4655
9200 29.6887
9300 29.9985
9400 30.2507
9500 30.5111
9600 30.7634
9700 30.9971
9800 31.2453
9900 31.5825
10000 31.9645
10100 32.349
10200 32.718
10300 33.0354
10400 33.2178
10500 33.5762
10600 33.9693
10700 34.2174
10800 34.4208
10900 34.6435
11000 34.9454
11100 35.2509
11200 35.5281
11300 35.987
11400 36.4046
11500 36.6775
11600 36.9163
11700 37.2105
11800 37.5979
11900 38.0295
12000 38.4327
12100 38.8705
12200 39.1689
12300 39.2919
12400 39.5583
12500 39.7961
12600 39.9897
12700 40.2969
12800 40.7972
12900 41.2937
13000 41.5241
13100 41.8086
13200 42.2898
13300 42.4979
13400 42.7911
13500 43.2709
13600 43.6483
13700 43.7864
13800 44.2616
13900 44.5689
14000 44.5789
14100 44.6667
14200 44.7417
14300 44.7617
14400 45.0931
14500 45.1941
14600 45.3126
14700 45.4753
14800 45.6773
14900 45.9104
15000 46.1749
15100 46.4578
15200 46.8184
15300 47.3327
15400 47.8817
15500 48.1838
15600 48.5803
15700 48.9696
15800 49.2475
15900 49.5816
16000 50.1079
16100 50.4475
16200 50.6877
16300 50.877
16400 51.0653
16500 51.4027
16600 51.7951
16700 52.0627
16800 52.3562
16900 52.6023
17000 52.7829
17100 53.1727
17200 53.5999
17300 53.9976
17400 54.4275
17500 54.7689
17600 55.1238
17700 55.4144
17800 55.8078
17900 56.1152
18000 56.5646
18100 57.006
18200 57.4315
18300 57.6427
18400 57.8384
18500 58.039
18600 58.3202
18700 58.4415
18800 58.4718
18900 58.5821
19000 58.8449
19100 59.2569
19200 59.5788
19300 59.9291
19400 60.3154
19500 60.5311
19600 60.7985
19700 60.9449
19800 61.0915
19900 61.29
20000 61.7645
20100 62.3564
20200 62.8199
20300 63.1877
20400 63.7444
20500 64.1329
20600 64.2217
20700 64.6548
20800 65.0057
20900 65.381
21000 65.9775
21100 66.4577
21200 66.6717
21300 66.6541
21400 66.8371
21500 67.0386
21600 67.1733
21700 67.2843
21800 67.4785
21900 67.8041
22000 68.0245
22100 68.1706
22200 68.261
22300 68.2753
22400 68.4501
22500 68.6403
22600 68.8179
22700 69.1304
22800 69.4704
22900 70.0015
23000 70.3885
23100 70.6307
23200 70.9728
23300 71.2144
23400 71.4126
23500 71.8074
23600 72.1055
23700 72.3008
23800 72.5348
23900 72.762
24000 73.0479
24100 73.411
24200 73.6416
24300 73.6332
24400 73.5896
24500 73.8826
24600 74.2931
24700 74.7707
24800 75.1539
24900 75.6104
25000 76.08
25100 76.4328
25200 76.7878
25300 77.1668
25400 77.3539
25500 77.6498
25600 78.1547
25700 78.6051
25800 78.8043
25900 78.9984
26000 79.161
26100 79.4566
26200 79.9072
26300 80.3185
26400 80.6913
26500 80.813
26600 80.804
26700 80.876
26800 80.957
26900 81.4056
27000 81.8945
27100 82.3186
27200 82.7559
27300 83.1504
27400 83.5175
27500 83.8921
27600 84.1675
27700 84.4117
27800 84.7274
27900 84.9717
28000 84.9623
28100 85.232
28200 85.5571
28300 85.9027
28400 86.2987
28500 86.5756
28600 86.9718
28700 87.2643
28800 87.7553
28900 88.258
29000 88.6964
29100 89.0587
29200 89.2428
29300 89.5819
29400 89.9165
29500 90.055
29600 90.3491
29700 90.6714
29800 90.7465
29900 90.8003
30000 91.1797
30100 91.2524
30200 91.4493
30300 92.0289
30400 92.4434
30500 92.5977
30600 92.7891
30700 92.9466
30800 93.0527
30900 93.022
31000 93.1197
31100 93.432
31200 93.774
31300 94.1536
31400 94.6605
31500 94.9983
31600 95.3113
31700 95.6484
31800 96.2271
31900 96.7454
32000 96.9805
32100 97.0232
32200 97.344
32300 97.964
32400 98.4629
32500 98.5582
32600 98.7472
32700 98.9057
32800 98.9791
32900 99.0906
33000 99.5439
33100 99.828
33200 99.8705
33300 100.444
33400 101.048
33500 101.359
33600 101.417
33700 101.597
33800 102.048
33900 102.599
34000 103.205
34100 103.455
34200 103.656
34300 103.687
34400 103.863
34500 104.037
34600 104.549
34700 105.036
34800 105.39
34900 105.462
35000 105.763
35100 106.121
35200 106.35
35300 106.275
35400 106.476
35500 106.762
35600 107.061
35700 107.129
35800 107.247
35900 107.304
36000 107.713
36100 108.006
36200 108.391
36300 108.751
36400 108.936
36500 109.024
36600 109.236
36700 109.486
36800 109.618
36900 109.685
37000 109.811
37100 109.984
37200 110.218
37300 110.471
37400 110.62
37500 110.766
37600 110.715
37700 110.973
37800 111.149
37900 111.779
38000 112.364
38100 112.312
38200 112.539
38300 112.867
38400 113.158
38500 113.568
38600 114.309
38700 114.697
38800 114.936
38900 115.212
39000 115.558
39100 115.619
39200 115.52
39300 115.857
39400 116.237
39500 116.483
39600 116.692
39700 116.541
39800 116.835
39900 116.983
40000 117.101
40100 117.45
40200 117.458
40300 117.233
40400 117.331
40500 117.682
40600 117.789
40700 117.905
40800 118.623
40900 119.201
41000 119.628
41100 119.662
41200 119.613
41300 119.74
41400 120.011
41500 120.286
41600 120.653
41700 121.183
41800 121.69
41900 122.226
42000 122.512
42100 122.629
42200 122.62
42300 122.685
42400 123.054
42500 123.457
42600 123.488
42700 123.36
42800 123.323
42900 123.242
43000 123.28
43100 123.612
43200 123.808
43300 123.653
43400 123.307
43500 123.082
43600 123.156
43700 123.356
43800 123.748
43900 124.291
44000 124.879
44100 125.344
44200 125.825
44300 126.459
44400 126.919
44500 127.231
44600 127.648
44700 127.87
44800 128.073
44900 128.595
45000 128.885
45100 128.943
45200 129.181
45300 129.409
45400 129.77
45500 130.247
45600 130.852
45700 131.356
45800 131.733
45900 131.91
46000 132.192
46100 132.366
46200 132.786
46300 132.856
46400 132.705
46500 133.125
46600 133.681
46700 133.923
46800 134.282
46900 134.611
47000 134.801
47100 135.005
47200 135.141
47300 135.459
47400 135.658
47500 135.715
47600 136.053
47700 136.497
47800 136.873
47900 137.094
48000 136.938
48100 136.722
48200 136.87
48300 137.151
48400 137.767
48500 138.071
48600 137.986
48700 137.826
48800 138.144
48900 138.647
49000 138.927
49100 139.054
49200 138.905
49300 138.992
49400 139.279
49500 139.531
49600 139.909
49700 140.358
49800 140.658
49900 140.507
50000 140.426
